Data Group,Run,Specimen/Site ID,Specimen or Site Description,Time Scan Start,Time Scan End,Midpoint of Scan Time,"Scan 
Context",Motion Correction,Include in Analysis?,Fiber ID,Da Vinci  Used,Sealing type ,"Bursting
left/ right*
[mmHg]",Other Notes,Energy Applied?,Energy Instrument,Power Delivered,Duration,Time Energy Was Applied,Delta Between Cautery Time and Scan Time,Data Channels Used,BG to Use,Reference Frame,Histopathology Registered?,Annotation Tool?,Deconvolution Performed?,Position Corrected?,,Raw data file,Background file,Deconvolution File,Text File,Video Path,Non-MC Corrected Positions,Refined Positions,Annotation File
BA,3,,Lung,14:00,14:01,14:00,Ex Vivo,Not Needed,,A008,Xi,,,baseline,,,,,,,"[CH1, CH2, CH3]",Bkg01,1,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_03.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run3.avi,,,
BA,4,,Lung,14:02,14:03,14:02,Ex Vivo,Not Needed,,A008,Xi,,,baseline,,,,,,,"[CH1, CH2, CH4]",Bkg01,1,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_04.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background01.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run4.avi,,,
BA,5,,Kidney,14:41,14:45,14:43,Ex Vivo,Not Needed,,A008,Xi,,,Renal Artery 1 baseline,No,,,,,,"[CH1, CH2, CH3]",Bkg04,403,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_05.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run5.avi,,,
BA,6,,Kidney,14:47,14:47,14:47,Ex Vivo,Not Needed,Discard,A008,Xi,,,,N/A,,,,,,Discard,Bkg04,778,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA,7,,Kidney,15:00,15:00,15:00,Ex Vivo,[Needs MC],,A008,Xi,Complete,,Renal Artery 2 baseline; 4cm long; 3mm Ø,Yes - After Scan,Vessel Sealer Extend 8 mm,auto,9s,,,"[CH1, CH2, CH3]",Bkg04,715,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_07.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run7.avi,,,
BA,8,,Kidney,15:00,15:01,15:00,Ex Vivo,Not Needed,,A008,Xi,Complete,435 / 300,Renal Atery 2 Post Sealing; whole in right specimen while bursting,Yes - Before Scan,Vessel Sealer Extend 8 mm,auto,9s,,,"[CH1, CH2, CH3]",Bkg04,328,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_08.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run8.avi,,,
BA,9,,Kidney,15:14,15:14,15:14,Ex Vivo,Not Needed,,A008,Xi,Complete,,Renal Artery 3 baseline; 5cm long; 2mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,9.68s,,,"[CH1, CH2, CH3]",Bkg04,688,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_09.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run9.avi,,,
BA,10,,Kidney,15:15,15:15,15:15,Ex Vivo,Not Needed,,A008,Xi,Complete,680 / 890,Renal Artery 3 Post sealing,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,9.68s,,,"[CH1, CH2, CH3]",Bkg04,435,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_10.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run10.avi,,,
BA,11,,Kidney,15:29,15:29,15:29,Ex Vivo,[Needs MC],,A008,Xi,Complete,,Renal Artery 4 baseline; 4 cm long; 2.7mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,5.98s,,,"[CH1, CH2, CH3]",Bkg04,157,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_11.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run11.avi,,,
BA,12,,Kidney,15:31,15:31,15:31,Ex Vivo,Not Needed,,A008,Xi,Complete,450 / 1015,Renal Artery 4 Post Sealing,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,5.98s,,,"[CH1, CH2, CH3]",Bkg04,33,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_12.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background04.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run12.avi,,,
BA,13,,Kidney,15:43,15:43,15:43,Ex Vivo,[Needs MC],,A008,Xi,Incomplete,,Renal Artery 5 baseline; 5cm long; 4cm to furcation; 4mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,4s,,,"[CH1, CH2, CH3]",Bkg07,419,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_13.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run13.avi,,,
BA,14,,Kidney,14:47,15:48,15:17,Ex Vivo,Not Needed,,A008,Xi,Incomplete,540 / 350,Renal Artery 5 Post sealing; leaking in right specimen while bursting possible,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,4s,,,"[CH1, CH2, CH3]",Bkg07,302,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_14.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run14.avi,,,
BA,15,,Kidney,15:52,15:52,15:52,Ex Vivo,Not Needed,Discard,A008,Xi,,,,N/A,,,,,,Discard,Bkg07,460,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA,16,,Kidney,15:52,15:54,15:53,Ex Vivo,Not Needed,,A008,Xi,Incomplete,,Renal Artery 6 baseline; 4.5cm long; 3.5cm to furcation; 5mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,1.83s,,,"[CH1, CH2, CH3]",Bkg07,496,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_16.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run16.avi,,,
BA,17,,Kidney,15:58,15:58,15:58,Ex Vivo,Not Needed,,A008,Xi,Incomplete,490 / -,Renal Artery 6 Post sealing; left specimen didn't burst; rigth specimen had a hole,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,1.83s,,,"[CH1, CH2, CH3]",Bkg07,1,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_17.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run17.avi,,,
BA,18,,Kidney,16:02,16:02,16:02,Ex Vivo,Not Needed,,A008,Xi,,,Renal Artery 7 baseline; 3.6cm long; 3mm Ø,Yes - After Scan,Vessel Sealer Extend 8 mm,auto,1s,,,"[CH1, CH2, CH3]",Bkg07,551,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_18.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run18.avi,,,
BA,19,,Kidney,16:04,16:04,16:04,Ex Vivo,[Needs MC],,A008,Xi,Incomplete,,Renal Artery 7; sealing applied halfway into scan,Yes - During Scan,Vessel Sealer Extend 8 mm,auto,1s,,,"[CH1, CH2, CH3]",Bkg07,788,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_19.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run19.avi,,,
BA,20,,Kidney,16:05,16:05,16:05,Ex Vivo,Not Needed,,A008,Xi,Incomplete,310 / 275,Renal Artery 7; post sealing scan,Yes - Before Scan,Vessel Sealer Extend 8 mm,auto,1s,,,"[CH1, CH2, CH3]",Bkg07,1111,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_20.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background07.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run20.avi,,,
BA,21,,Kidney,16:08,16:10,16:09,Ex Vivo,Not Needed,,A008,Xi,Incomplete,,Renal Artery 8 baseline; 5cm long; 3.5cm to furcation; 5mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,2.26s,,,"[CH1, CH2, CH3]",Bkg08,593,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_21.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run21.avi,,,
BA,22,,Kidney,16:08,16:13,16:10,Ex Vivo,[Needs MC],,A008,Xi,Incomplete,,Renal Artery 8; sealing applied halfway into scan,Yes - During Scan,Vessel Sealer Extend 8mm,auto,2.26s,,,"[CH1, CH2, CH3]",Bkg08,331,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_22.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run22.avi,,,
BA,23,,Kidney,16:08,16:14,16:11,Ex Vivo,Not Needed,,A008,Xi,Incomplete,610 / 685,Renal Artery 8; post sealing scan,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,2.26s,,,"[CH1, CH2, CH3]",Bkg08,91,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_23.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run23.avi,,,
BA,24,,Kidney,16:18,16:18,16:18,Ex Vivo,Not Needed,,A008,Xi,Complete,,Renal Artery 9 baseline; 4cm long; 3 cm to furcation; 3mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,5.95s,,,"[CH1, CH2, CH3]",Bkg08,15,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_24.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run24.avi,,,
BA,25,,Kidney,16:19,16:19,16:19,Ex Vivo,Not Needed,,A008,Xi,,,Renal artery with pressure; no sealing energy applied,N/A,N/A - Pressure Only,,,,,"[CH1, CH2, CH3]",Bkg08,601,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_25.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run25.avi,,,
BA,26,,Kidney,16:20,16:21,16:20,Ex Vivo,Not Needed,,A008,Xi,Complete,385 / 620,Renal Artery 9 post-seal scan; should be an over sealing but stop automaticaly -> not over sealing possible,Yes - Before Scan,Vessel Sealer Extend 8mm,auto,5.95s,,,"[CH1, CH2, CH3]",Bkg08,167,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_26.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run26.avi,,,
BA,27,,Kidney,16:24,16:24,16:24,Ex Vivo,Not Needed,Discard,A008,Xi,,,,N/A,,,,,,Discard,Bkg08,19,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA,28,,Kidney,16:25,16:25,16:25,Ex Vivo,Not Needed,,A008,Xi,Complete,,Renal Artery 10 baseline; 6cm long; 4cm to furcation; 4mm Ø,Yes - After Scan,Vessel Sealer Extend 8 mm,auto,10s,,,"[CH1, CH2, CH3]",Bkg08,9,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_28.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run28.avi,,,
BA,29,,Kidney,16:28,16:29,16:28,Ex Vivo,Not Needed,,A008,Xi,Complete,440 / 875,Renal Artery 10; sealing applied halfway into scan,Yes - During Scan,Vessel Sealer Extend 8 mm,auto,10s,,,"[CH1, CH2, CH3]",Bkg08,1540,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_29.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background08.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run29.avi,,,
BA,30,,Kidney,17:16,17:16,17:16,Ex Vivo,Not Needed,Discard,A008,Xi,,,,N/A,,,,,,Discard,Bkg08,1,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA,31,,Kidney,17:27,17:27,17:27,Ex Vivo,Not Needed,Discard,A008,Xi,,,,N/A,,,,,,Discard,Bkg08,1,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BA,32,,Kidney,17:32,17:33,17:32,Ex Vivo,Not Needed,,A008,Xi,Complete,,Renal Artery 11 baseline outside; 5cm long; 4 cm to furcation; 4mm Ø,Yes - After Scan,Vessel Sealer Extend 8mm,auto,,,,"[CH1, CH2, CH3]",Bkg10,859,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_32.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background10.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run32.avi,,,
BA,33,,Kidney,17:36,17:37,17:36,Ex Vivo,Not Needed,,A008,Xi,Complete,,Renal Artery 11 baseline inside,Yes - After Scan,Vessel Sealer Extend 8mm,auto,,,,"[CH1, CH2, CH3]",Bkg11,629,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_33.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background11.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run33.avi,,,
BA,34,,Kidney,17:40,17:41,17:40,Ex Vivo,[Needs MC],,A008,Xi,Complete,,Renal Artery 11; sealing applied halfway into scan,Yes - During Scan,Vessel Sealer Extend 8mm,auto,,,,"[CH1, CH2, CH3]",Bkg11,1552,,,,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\2023_03_21_Baseline_Tissue_34.tdms,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\Background\Background11.tdms,,,\V2 Sacramento Database\SP4-Intuitive Surgical\2023-03-21-Visit\2023_03_21_Baseline_Tissue\videos\2023_03_21_Baseline_Tissue_run34.avi,,,
